"operadora","contrato","campo","formacion_productora","modalidad","vigencia","mes","tipo_prueba","fecha_inicio","fecha_fin","tipo_fluido","petroleo_bbl","gas_ksc","estado"
"Ecopetrol S.A.","Uribante","Oripaya","No Reporta","No Reporta","2025","8","Iniciales","2024-01-10T00:00:00.000","2024-01-18T00:00:00.000","Gas","0.00","0.00","No Reporta"
"Ecopetrol S.A.","VMM 32","Bufalo","No Reporta","No Reporta","2025","8","Iniciales","2024-03-21T00:00:00.000",,"No Reporta","0.00","0.00","No Reporta"
"Frontera Energy","Cachicamo","Greta Oto","No Reporta","No Reporta","2025","8","Iniciales","2025-02-16T00:00:00.000","2025-02-25T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Frontera Energy","Cachicamo","Greta Oto","No Reporta","No Reporta","2025","8","Iniciales","2025-01-16T00:00:00.000","2025-01-25T00:00:00.000","Petróleo","101.60","0.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Saltador","No Reporta","No Reporta","2025","8","Iniciales","2024-11-19T00:00:00.000","2024-11-28T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Geopark Colombia S.A.S.","LLA 123","Saltador","No Reporta","No Reporta","2025","8","Iniciales","2024-10-18T00:00:00.000","2025-02-26T00:00:00.000","Petróleo y gas","1102.03","1.32","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","8","Iniciales","2024-11-26T00:00:00.000","2025-03-10T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","8","Iniciales","2024-07-30T00:00:00.000","2025-06-26T00:00:00.000","Petróleo y gas","2624.43","55.35","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","8","Iniciales","2024-06-10T00:00:00.000","2024-06-19T00:00:00.000","Petróleo y gas","548.00","0.00","Inactivo"
"Geopark Colombia S.A.S.","LLA 87","Zorzal","No Reporta","No Reporta","2025","8","Iniciales","2025-01-12T00:00:00.000","2025-01-19T00:00:00.000","Petróleo y gas","406.78","57.10","Activo"
"Gran Tierra Energy","Chaza","Moqueta","No Reporta","No Reporta","2025","8","Iniciales","2025-04-25T00:00:00.000","2025-06-07T00:00:00.000","Gas","0.00","0.00","Inactivo"
"Green Power Sucursal Colombia","Joropo","Kimbo","No Reporta","No Reporta","2025","8","Iniciales","2025-01-28T00:00:00.000","2025-02-06T00:00:00.000","Petróleo","735.00","0.00","Activo"
"ONGC Videsh","CPO 5","Halcon","No Reporta","No Reporta","2025","8","Iniciales","2024-01-09T00:00:00.000","2024-01-30T00:00:00.000","Petróleo","873.00","0.00","Activo"
"ONGC Videsh","CPO 5","Halcon","No Reporta","No Reporta","2025","8","Iniciales","2024-09-03T00:00:00.000",,"Petróleo","51.60","0.00","Inactivo"
"ONGC Videsh","CPO 5","La Urraca","No Reporta","No Reporta","2025","8","Iniciales","2024-12-17T00:00:00.000","2024-12-30T00:00:00.000","Petróleo","49.59","0.00","Inactivo"
"Parex Resources","Arauca","Arauca","No Reporta","No Reporta","2025","8","Iniciales","2024-04-18T00:00:00.000","2024-05-02T00:00:00.000","Petróleo y gas","341.30","4615.43","Activo"
"Parex Resources","LLA 74","Barnett","No Reporta","No Reporta","2025","8","Iniciales","2025-04-23T00:00:00.000","2025-06-06T00:00:00.000","Petróleo","645.86","0.00","Activo"
"Parex Resources","LLA 74","Yaguarindí","No Reporta","No Reporta","2025","8","Iniciales","2025-05-20T00:00:00.000","2025-07-23T00:00:00.000","Petróleo","2874.00","0.00","Activo"
"Perenco Colombia Limited","Corocora","Campo exploratorio","No Reporta","No Reporta","2025","8","Iniciales","2024-04-01T00:00:00.000","2024-04-05T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Petrobras Colombia","GUA OFF 0","Sirius","No Reporta","No Reporta","2025","8","Iniciales","2025-01-01T00:00:00.000","2025-01-10T00:00:00.000","Gas","0.00","33400.00","No Reporta"
"Petroleos Colombianos S.A.","Tapir","Alberta","No Reporta","No Reporta","2025","8","Iniciales","2024-12-22T00:00:00.000","2025-01-01T00:00:00.000","Petróleo","0.00","0.00","No Reporta"
"Petroleos Colombianos S.A.","Tapir","Alberta","No Reporta","No Reporta","2025","8","Iniciales","2025-01-01T00:00:00.000","2025-02-02T00:00:00.000","Petróleo","726.43","0.00","Activo"
"Petroleos Colombianos S.A.","Tapir","Alberta","No Reporta","No Reporta","2025","8","Iniciales","2025-01-01T00:00:00.000","2025-01-19T00:00:00.000","Petróleo","0.00","0.00","Inactivo"
"SierraCol Energy Arauca","Cosecha","Rex NE","No Reporta","No Reporta","2025","8","Iniciales","2024-01-17T00:00:00.000","2024-02-27T00:00:00.000","Petróleo y gas","3420.00","0.00","Activo"
